"","V1","V2","V3","V4","V5","V6"
"1",27,0,1,0,1,7
"2",0,32,0,2,1,1
"3",0,0,26,5,4,1
"4",0,2,4,20,7,3
"5",0,0,5,6,24,1
"6",7,1,2,2,3,21
