"","V1","V2","V3","V4","V5","V6"
"1",36,0,0,0,0,0
"2",0,36,0,0,0,0
"3",0,0,36,0,0,0
"4",0,0,0,36,0,0
"5",0,0,0,0,36,0
"6",0,0,0,0,1,35
