"","V1","V2","V3","V4","V5","V6"
"1",21,0,0,1,0,14
"2",0,32,1,0,0,3
"3",1,0,22,3,6,4
"4",2,0,1,21,5,7
"5",0,0,4,12,19,1
"6",8,0,1,3,1,23
