"","V1","V2","V3","V4","V5","V6"
"1",32,0,0,1,0,3
"2",0,35,0,1,0,0
"3",0,0,29,2,5,0
"4",1,1,1,25,6,2
"5",0,0,3,6,27,0
"6",6,1,3,1,1,24
