"","V1","V2","V3","V4","V5","V6"
"1",33,0,0,0,0,3
"2",0,36,0,0,0,0
"3",0,0,27,1,6,2
"4",1,0,0,28,6,1
"5",0,0,4,6,26,0
"6",8,1,1,2,2,22
