"","V1","V2","V3","V4","V5","V6"
"1",32,0,0,1,0,3
"2",0,32,0,0,4,0
"3",0,0,27,2,7,0
"4",0,0,1,23,12,0
"5",0,0,4,11,20,1
"6",6,0,3,3,1,23
