"","V1","V2","V3","V4","V5","V6"
"1",31,0,0,1,0,4
"2",0,36,0,0,0,0
"3",0,0,27,4,4,1
"4",1,1,1,28,4,1
"5",0,0,5,8,21,2
"6",7,0,2,0,2,25
