"","size","decay","error","sd"
"1",25,0.01,0.268518518518519,0.0573775310549247
"2",25,0.02,0.240740740740741,0.0546217822361208
"3",25,0.03,0.24537037037037,0.0209103514641411
"4",25,0.04,0.217592592592593,0.0408877817885549
"5",25,0.05,0.222222222222222,0.0633430791721743
"6",25,0.06,0.231481481481481,0.0672811189799443
"7",25,0.07,0.240740740740741,0.0517194075695146
"8",25,0.08,0.24537037037037,0.0539108393629987
"9",25,0.09,0.236111111111111,0.0908634846322007
"10",25,0.1,0.259259259259259,0.0143443827637312
"11",25,0.11,0.217592592592593,0.0478444840102363
"12",25,0.12,0.194444444444444,0.0496903994999953
"13",25,0.13,0.226851851851852,0.0209103514641411
"14",25,0.14,0.217592592592593,0.0408877817885548
"15",25,0.15,0.25,0.0464811125852264
"16",25,0.16,0.212962962962963,0.0418207029282823
"17",25,0.17,0.199074074074074,0.0509679960908255
"18",25,0.18,0.208333333333333,0.0232405562926132
"19",25,0.19,0.263888888888889,0.0519674637051936
"20",25,0.2,0.222222222222222,0.0702728368926306
"21",25,0.21,0.24537037037037,0.0324734776236115
"22",25,0.22,0.217592592592593,0.0509679960908255
"23",25,0.23,0.25462962962963,0.0567011514533143
"24",25,0.24,0.231481481481481,0.0573775310549247
"25",25,0.25,0.25462962962963,0.0478444840102364
"26",25,0.26,0.25,0.065734219812218
"27",25,0.27,0.222222222222222,0.0878410461157883
"28",25,0.28,0.226851851851852,0.0478444840102364
"29",25,0.29,0.212962962962963,0.0336405594899721
"30",25,0.3,0.212962962962963,0.0226804605813257
"31",25,0.31,0.236111111111111,0.0456435464587639
"32",25,0.32,0.240740740740741,0.0453609211626515
"33",25,0.33,0.212962962962963,0.0695369753908096
"34",25,0.34,0.208333333333333,0.0421270858002864
"35",25,0.35,0.226851851851852,0.0324734776236115
"36",25,0.36,0.208333333333333,0.0519674637051936
"37",25,0.37,0.203703703703704,0.0453609211626515
"38",25,0.38,0.231481481481481,0.0453609211626515
"39",25,0.39,0.25,0.0680413817439772
"40",25,0.4,0.217592592592593,0.0478444840102364
"41",25,0.41,0.222222222222222,0.0351364184463153
"42",25,0.42,0.222222222222222,0.0582671582316751
"43",25,0.43,0.231481481481481,0.0418207029282823
"44",25,0.44,0.203703703703704,0.0336405594899721
"45",25,0.45,0.222222222222222,0.0430331482911935
"46",25,0.46,0.212962962962963,0.0143443827637312
